EventType;T;X;Y;P;Altitude;Azimuth;Distance
3;103799;19802;25085;0;600;290;148
3;103804;19854;25131;0;600;290;128
3;103809;19909;25175;0;600;290;112
3;103815;19969;25216;0;600;290;92
3;103820;20033;25255;0;600;290;92
3;103826;20099;25290;0;600;280;100
3;103831;20166;25320;0;600;280;112
3;103836;20235;25348;0;600;280;120
3;103842;20305;25373;0;600;280;128
3;103847;20375;25394;0;600;260;140
3;103852;20443;25415;0;600;260;156
3;103858;20509;25432;0;600;260;156
3;103863;20570;25447;0;620;250;168
3;103868;20628;25462;0;620;250;176
3;103874;20681;25474;0;620;250;176
3;103879;20726;25479;0;620;250;184
3;103885;20767;25483;0;620;250;184
3;103890;20800;25493;0;620;250;184
3;103895;20827;25500;0;620;240;184
3;103901;20847;25506;0;620;240;176
3;103906;20861;25510;0;620;240;176
3;103911;20864;25514;0;620;240;176
3;103917;20866;25517;0;620;240;176
3;103922;20872;25519;0;620;240;176
3;103927;20875;25522;0;620;240;176
3;103933;20877;25524;0;620;240;176
3;103938;20878;25525;0;620;240;176
3;103943;20879;25526;0;620;240;176
3;103949;20883;25527;0;620;240;176
3;103954;20886;25527;0;620;240;176
3;103960;20889;25527;0;620;240;176
3;103965;20893;25527;0;620;240;176
3;103970;20899;25527;0;620;240;168
3;103976;20900;25524;0;620;240;156
3;103981;20900;25519;0;620;240;148
3;103986;20900;25513;0;620;240;128
3;103992;20893;25502;0;620;240;128
3;103997;20878;25493;0;610;230;128
3;104002;20861;25482;0;610;230;128
3;104008;20839;25469;0;610;230;128
3;104013;20813;25455;0;610;230;128
3;104019;20780;25437;0;610;230;128
3;104024;20743;25418;0;610;230;128
3;104029;20699;25392;0;610;230;128
3;104035;20650;25361;0;610;240;140
3;104040;20596;25324;0;610;240;140
3;104045;20525;25272;0;610;240;140
3;104051;20456;25221;0;610;240;156
3;104056;20368;25156;0;600;260;168
3;104061;20282;25094;0;600;260;184
3;104067;20188;25027;0;600;260;204
3;104072;20065;24944;0;600;260;212
3;104078;19961;24878;0;600;260;212
3;104083;19859;24816;0;600;260;212
3;104088;19770;24764;0;600;280;224
3;104094;19697;24725;0;600;280;232
3;104099;19614;24682;0;600;280;232
3;104104;19523;24634;0;590;280;240
3;104110;19437;24591;0;590;280;232
3;104115;19356;24552;0;590;280;232
3;104120;19280;24516;0;580;300;224
3;104126;19207;24484;0;580;300;224
3;104131;19139;24455;0;580;300;224
3;104136;19074;24429;0;580;290;212
3;104142;19013;24408;0;570;300;204
3;104147;18956;24390;0;570;300;204
3;104153;18903;24376;0;570;300;196
3;104158;18855;24372;0;570;320;196
3;104163;18812;24369;0;570;320;184
3;104169;18774;24361;0;570;320;176
3;104174;18743;24354;0;570;320;168
3;104179;18715;24352;0;570;320;156
3;104185;18693;24351;0;570;320;148
3;104190;18673;24351;0;570;320;148
3;104195;18657;24351;0;570;320;140
3;104201;18641;24351;0;570;320;128
3;104206;18627;24354;0;560;330;128
3;104212;18613;24359;0;560;330;120
3;104217;18598;24365;0;560;330;120
3;104222;18582;24376;0;560;330;112
3;104228;18564;24383;0;560;330;100
3;104233;18545;24391;0;560;330;100
3;104238;18524;24396;0;560;330;92
3;104244;18502;24408;0;560;330;84
3;104249;18478;24415;0;560;330;84
3;104254;18452;24423;0;560;330;72
3;104260;18425;24432;0;560;330;64
3;104265;18396;24442;0;560;330;56
3;104271;18367;24453;0;560;330;36
3;104276;18337;24465;0;560;330;16
3;104281;18308;24481;0;560;330;0
3;104287;18279;24498;0;560;330;0
3;104292;18250;24516;0;560;330;0
3;104297;18197;24544;0;560;330;0
3;104303;18150;24568;0;560;330;0
1;104304;18106;24586;1280;560;330;0
1;104305;18106;24586;2641;560;350;0
1;104306;18106;24586;3585;570;360;0
1;104307;18106;24586;4273;570;360;0
1;104308;18106;24586;5746;570;360;0
1;104309;18106;24586;7091;570;360;0
1;104310;18106;24586;8387;570;360;0
1;104311;18106;24586;9684;570;360;0
1;104312;18106;24586;10708;570;360;0
1;104316;18106;24586;11285;570;360;0
1;104321;18106;24586;11461;570;360;0
1;104326;18106;24586;11461;570;360;0
1;104332;18106;24586;11445;570;360;0
1;104337;18106;24586;11445;570;360;0
1;104342;18106;24586;11429;570;360;0
1;104348;18106;24586;11477;560;350;0
1;104353;18264;24605;11621;560;350;0
1;104358;18342;24594;11717;560;350;0
1;104364;18423;24582;11733;560;350;0
1;104369;18503;24568;11733;560;350;0
1;104375;18577;24555;11733;560;350;0
1;104380;18643;24544;11637;560;350;0
1;104385;18703;24536;11621;560;350;0
1;104391;18757;24530;11621;560;330;0
1;104396;18802;24526;11573;560;330;0
1;104401;18838;24523;11557;560;330;0
1;104407;18864;24521;11525;560;330;0
1;104412;18882;24520;11413;560;330;0
1;104417;18890;24520;11301;560;330;0
1;104423;18892;24520;11269;570;320;0
1;104428;18892;24520;11269;570;320;0
1;104434;18892;24520;11317;570;320;0
1;104439;18888;24520;11477;570;320;0
1;104444;18878;24518;11573;570;320;0
1;104450;18860;24518;11909;570;320;0
1;104455;18836;24518;12245;570;320;0
1;104460;18803;24518;12277;570;320;0
1;104466;18760;24518;12373;570;320;0
1;104471;18709;24520;12453;570;320;0
1;104476;18651;24522;12469;570;320;0
1;104482;18589;24525;12469;570;320;0
1;104487;18526;24528;12565;570;320;0
1;104493;18465;24534;12629;570;320;0
1;104498;18406;24542;12933;570;320;0
1;104503;18351;24553;13029;560;330;0
1;104509;18300;24566;13126;560;330;0
1;104514;18251;24579;13286;560;330;0
1;104519;18210;24590;13398;560;330;0
1;104525;18173;24600;13574;560;330;0
1;104530;18143;24609;13702;560;330;0
1;104535;18119;24614;13734;560;330;0
1;104541;18103;24617;13862;560;330;0
1;104546;18092;24619;14038;560;330;0
1;104551;18087;24621;14262;560;330;0
1;104557;18085;24623;14326;560;330;0
1;104562;18085;24626;14326;560;330;0
1;104568;18085;24630;14230;560;330;0
1;104573;18093;24636;14086;560;330;0
1;104578;18105;24645;13910;560;330;0
1;104584;18123;24658;13878;560;330;0
1;104589;18148;24673;13782;560;330;0
1;104594;18180;24692;13782;560;330;0
1;104600;18221;24712;13846;560;330;0
1;104605;18270;24734;13846;560;330;0
1;104610;18325;24756;13766;560;330;0
1;104616;18384;24778;13766;560;330;0
1;104621;18444;24799;13766;560;330;0
1;104627;18502;24820;13638;560;330;0
1;104632;18556;24838;13558;560;330;0
1;104637;18606;24855;13446;560;330;0
1;104643;18649;24869;13350;560;330;0
1;104648;18682;24880;13222;560;330;0
1;104653;18706;24888;13045;560;330;0
1;104659;18721;24892;12709;560;330;0
1;104664;18732;24894;12581;560;330;0
1;104669;18736;24894;12581;560;330;0
1;104675;18736;24894;12645;560;330;0
1;104680;18736;24894;12693;560;330;0
1;104686;18736;24884;12725;570;320;0
1;104691;18728;24868;12741;570;320;0
1;104696;18714;24843;12805;570;320;0
1;104702;18698;24811;12805;570;320;0
1;104707;18679;24775;12773;570;320;0
1;104712;18657;24734;12421;570;320;0
1;104718;18632;24693;12341;570;320;0
1;104723;18608;24655;12245;570;320;0
1;104728;18585;24621;12341;570;320;0
1;104734;18564;24593;12389;570;320;0
1;104739;18548;24572;12469;570;320;0
1;104744;18537;24555;12485;570;320;0
1;104750;18530;24546;12677;570;320;0
1;104755;18525;24541;12917;570;320;0
1;104761;18524;24541;13142;560;330;0
1;104766;18524;24541;13142;560;330;0
1;104771;18524;24542;13126;560;330;0
1;104777;18524;24552;12981;560;330;0
1;104782;18525;24565;12757;560;330;0
1;104787;18530;24581;12533;560;330;0
1;104793;18537;24602;12357;560;330;0
1;104798;18542;24630;12197;560;330;0
1;104803;18547;24664;11829;560;330;0
1;104809;18551;24704;11301;560;330;0
1;104814;18555;24748;10756;560;330;0
1;104820;18558;24796;9732;560;330;0
1;104825;18561;24845;8675;560;330;0
1;104830;18563;24895;6899;560;330;0
1;104836;18564;24947;5170;560;330;0
1;104841;18564;24992;3601;560;330;0
1;104846;18564;25023;1328;560;330;0
3;104852;18564;25023;0;560;330;0
3;104857;18557;25136;0;560;330;0
3;104862;18547;25185;0;570;320;0
3;104868;18532;25239;0;570;320;0
3;104873;18519;25255;0;570;320;0
3;104879;18504;25271;0;570;320;0
3;104884;18488;25288;0;570;320;0
3;104889;18471;25302;0;570;320;0
3;104895;18450;25319;0;570;320;0
3;104900;18423;25339;0;560;310;0
3;104905;18392;25360;0;560;310;0
3;104911;18356;25384;0;560;310;0
3;104916;18317;25404;0;560;290;0
3;104921;18280;25422;0;560;290;0
3;104927;18242;25437;0;560;290;0
3;104932;18206;25451;0;560;290;0
3;104937;18149;25461;0;560;290;0
3;104943;18102;25464;0;560;290;0
1;104944;18064;25464;2481;560;290;0
1;104945;18064;25464;4225;560;290;0
1;104946;18064;25464;5794;560;290;0
1;104947;18064;25464;7555;560;290;0
1;104948;18064;25464;9012;560;290;0
1;104949;18064;25464;10020;570;300;0
1;104950;18064;25464;10868;570;300;0
1;104951;18064;25464;11733;570;300;0
1;104956;18064;25464;12373;570;300;0
1;104961;18064;25464;12773;570;300;0
1;104967;18064;25464;12933;570;300;0
1;104972;18064;25464;13013;570;300;0
1;104977;18064;25464;13158;570;300;0
1;104983;18209;25425;13446;570;300;0
1;104988;18269;25422;13590;570;300;0
1;104994;18336;25420;13606;570;300;0
1;104999;18404;25419;13606;570;300;0
1;105004;18473;25419;13654;570;300;0
1;105010;18542;25419;13654;570;300;0
1;105015;18608;25421;13654;570;300;0
1;105020;18670;25423;13638;570;300;0
1;105026;18727;25423;13638;570;300;0
1;105031;18777;25423;13622;570;300;0
1;105036;18821;25416;13622;570;300;0
1;105042;18853;25408;13622;570;300;0
1;105047;18877;25400;13654;580;290;0
1;105052;18891;25394;13734;580;290;0
1;105058;18897;25388;13782;580;290;0
1;105063;18898;25382;13974;580;290;0
1;105069;18898;25376;14198;580;290;0
1;105074;18898;25370;14534;580;290;0
1;105079;18898;25364;14886;580;290;0
1;105085;18892;25360;15254;580;290;0
1;105090;18879;25358;15607;580;290;0
1;105095;18861;25356;15767;580;290;0
1;105101;18840;25356;15767;580;290;0
1;105106;18816;25356;15767;580;290;0
1;105111;18790;25359;15703;580;290;0
1;105117;18767;25370;15591;580;290;0
1;105122;18745;25385;15575;580;290;0
1;105128;18727;25402;15415;580;290;0
1;105133;18712;25423;15030;580;290;0
1;105138;18702;25445;14598;580;290;0
1;105144;18696;25471;13830;580;290;0
1;105149;18693;25502;13302;580;290;0
1;105154;18693;25538;12453;580;290;0
1;105160;18693;25578;11301;580;290;0
1;105165;18693;25622;9684;580;290;0
1;105170;18696;25671;8163;580;300;0
1;105176;18700;25721;6242;580;300;0
1;105181;18702;25767;4434;580;300;0
1;105187;18703;25800;1840;580;300;0
3;105192;18703;25800;0;580;300;0
3;105197;18697;25900;0;580;300;0
3;105203;18685;25944;0;580;300;0
3;105208;18671;25992;0;580;300;0
3;105213;18658;26010;0;580;300;0
3;105219;18646;26026;0;580;300;0
3;105224;18634;26040;0;580;300;0
3;105229;18621;26054;0;580;300;0
3;105235;18605;26069;0;580;300;8
3;105240;18585;26086;0;580;300;0
3;105245;18561;26103;0;590;310;0
3;105251;18534;26121;0;590;310;0
3;105256;18505;26137;0;590;310;0
3;105262;18473;26150;0;590;310;0
3;105267;18441;26160;0;590;310;0
3;105272;18380;26171;0;590;310;0
3;105278;18325;26179;0;590;310;0
1;105279;18277;26185;1248;590;310;0
1;105280;18277;26185;2913;590;310;0
1;105281;18277;26185;5138;590;310;0
1;105282;18277;26185;6995;590;310;0
1;105284;18277;26185;8323;590;310;0
1;105289;18277;26185;9780;590;310;0
1;105294;18277;26185;11141;590;310;0
1;105300;18277;26185;12213;590;310;0
1;105305;18277;26185;12933;590;310;0
1;105310;18277;26185;13318;590;310;0
1;105316;18277;26185;13526;590;310;0
1;105321;18277;26185;13702;590;310;0
1;105326;18277;26185;13990;590;310;0
1;105332;18277;26185;14134;590;310;0
1;105337;18354;26158;14230;590;310;0
1;105343;18398;26150;14358;590;310;0
1;105348;18444;26143;14358;590;310;0
1;105353;18488;26138;14374;590;310;0
1;105359;18531;26134;14342;590;310;0
1;105364;18569;26129;14294;590;310;0
1;105369;18606;26122;14294;590;310;0
1;105375;18637;26117;14294;590;310;0
1;105380;18665;26113;14294;590;310;0
1;105385;18686;26112;14294;590;310;0
1;105391;18700;26111;14294;590;310;0
1;105396;18708;26111;14262;590;310;0
1;105402;18711;26111;14230;590;310;0
1;105407;18711;26111;14230;590;310;0
1;105412;18711;26111;14294;600;290;0
1;105418;18710;26111;14342;600;290;0
1;105423;18700;26111;14486;600;290;0
1;105428;18684;26111;14630;600;290;0
1;105434;18659;26111;14646;600;290;0
1;105439;18625;26111;14646;600;290;0
1;105444;18584;26116;14566;600;290;0
1;105450;18536;26124;14566;600;290;0
1;105455;18485;26135;14470;600;290;0
1;105460;18432;26145;14470;600;290;0
1;105466;18377;26155;14406;600;290;0
1;105471;18323;26165;14406;600;290;0
1;105477;18272;26175;14534;600;290;0
1;105482;18227;26187;14566;600;290;0
1;105487;18186;26201;14630;600;290;0
1;105493;18152;26215;14774;600;290;0
1;105498;18123;26232;14822;590;310;0
1;105503;18102;26247;14886;590;310;0
1;105509;18088;26262;15094;590;310;0
1;105514;18081;26276;15190;590;310;0
1;105519;18078;26285;15190;590;310;0
1;105525;18078;26294;15174;590;310;0
1;105530;18078;26305;15078;590;310;0
1;105536;18088;26316;14966;590;310;0
1;105541;18104;26329;14902;590;310;0
1;105546;18128;26345;14902;590;310;0
1;105552;18157;26361;14982;590;310;0
1;105557;18192;26379;14982;590;310;0
1;105562;18232;26399;14966;590;310;0
1;105568;18277;26420;14966;590;310;0
1;105573;18325;26441;15014;590;310;0
1;105578;18376;26458;15014;590;310;0
1;105584;18427;26475;14998;590;310;0
1;105589;18476;26488;14982;590;310;0
1;105595;18521;26498;14966;590;310;0
1;105600;18561;26506;14950;590;310;0
1;105605;18599;26513;14950;590;310;0
1;105611;18632;26517;14790;590;310;0
1;105616;18661;26519;14742;590;310;0
1;105621;18685;26519;14566;590;310;0
1;105627;18703;26519;14422;590;310;0
1;105632;18716;26519;14278;590;310;0
1;105637;18724;26518;14070;590;310;0
1;105643;18727;26510;13734;600;290;0
1;105648;18727;26498;13270;600;290;0
1;105653;18727;26484;12757;600;290;0
1;105659;18714;26467;12389;600;290;0
1;105664;18697;26445;12037;600;290;0
1;105670;18674;26420;11541;600;290;0
1;105675;18645;26394;11029;600;290;0
1;105680;18613;26366;10468;600;290;0
1;105686;18581;26341;10468;600;290;0
1;105691;18551;26318;11333;600;290;0
1;105696;18526;26298;11365;600;290;0
1;105702;18505;26281;11829;600;290;0
1;105707;18487;26269;12261;600;290;0
1;105712;18474;26259;12645;600;300;0
1;105718;18466;26254;13462;600;300;0
1;105723;18462;26251;14150;600;300;0
1;105729;18460;26251;14582;600;300;0
1;105734;18460;26251;14646;600;300;0
1;105739;18460;26254;14646;600;300;0
1;105745;18460;26261;14438;600;300;0
1;105750;18460;26272;14086;600;300;0
1;105755;18464;26284;13398;600;300;0
1;105761;18469;26303;12389;600;290;0
1;105766;18472;26325;11189;600;290;0
1;105771;18473;26354;10132;600;290;0
1;105777;18473;26390;8772;600;290;0
1;105782;18473;26426;7283;600;290;0
1;105788;18470;26462;5378;600;290;0
1;105793;18461;26496;3361;600;290;0
1;105798;18453;26518;1248;600;290;0
3;105804;18453;26518;0;600;290;0
3;105809;18401;26587;0;600;290;0
3;105814;18373;26613;0;600;290;0
3;105820;18339;26642;0;600;290;0
3;105825;18320;26647;0;600;290;0
3;105830;18300;26652;0;600;290;0
3;105836;18280;26658;0;600;290;0
3;105841;18259;26665;0;600;290;0
3;105846;18234;26673;0;600;290;0
3;105852;18204;26683;0;590;310;0
3;105857;18167;26694;0;590;310;0
3;105863;18125;26705;0;590;310;0
3;105868;18085;26717;0;590;310;0
3;105873;18045;26729;0;590;310;0
3;105879;17984;26740;0;590;310;0
3;105884;17931;26748;0;590;310;0
1;105885;17887;26754;1072;590;310;0
1;105886;17887;26754;4353;600;320;0
1;105887;17887;26754;6018;600;320;0
1;105888;17887;26754;7635;600;320;0
1;105889;17887;26754;9348;600;320;0
1;105890;17887;26754;10756;600;340;0
1;105891;17887;26754;12037;600;340;0
1;105895;17887;26754;13077;600;340;0
1;105900;17887;26754;13798;600;340;0
1;105905;17887;26754;14230;600;340;0
1;105911;17887;26754;14230;600;340;0
1;105916;17887;26754;14150;600;340;0
1;105921;17887;26754;13878;600;340;0
1;105927;17887;26754;13542;600;340;0
1;105932;17887;26754;13077;590;330;0
1;105938;17887;26754;12709;590;330;0
1;105943;17982;26772;12037;600;340;0
1;105948;18024;26777;11189;600;320;0
1;105954;18068;26786;10132;600;320;0
1;105959;18112;26797;8691;600;320;0
1;105964;18157;26811;6563;600;320;0
1;105970;18199;26824;4754;590;310;0
1;105975;18231;26835;2561;590;310;0
1;105980;18267;26852;128;590;310;0
3;105986;18267;26852;0;590;310;0
3;105991;18306;26881;0;600;290;0
3;105997;18318;26898;0;600;290;0
3;106002;18318;26906;0;600;290;8
3;106007;18311;26913;0;600;290;8
3;106013;18300;26918;0;600;290;16
3;106018;18287;26923;0;600;290;16
3;106023;18269;26929;0;600;290;28
3;106029;18247;26937;0;600;290;28
3;106034;18222;26946;0;600;290;28
3;106039;18191;26955;0;600;290;28
3;106045;18160;26963;0;600;290;16
3;106050;18130;26971;0;600;290;16
3;106055;18100;26979;0;600;290;16
3;106061;18075;26987;0;600;290;8
3;106066;18053;26992;0;600;290;0
3;106072;18029;26997;0;600;290;0
3;106077;18013;26998;0;600;290;0
1;106078;18002;26998;880;600;290;0
1;106079;18002;26998;3921;600;290;0
1;106080;18002;26998;5170;600;300;0
1;106083;18002;26998;5858;600;300;0
1;106089;18002;26998;6354;600;300;0
1;106094;18002;26998;6883;600;300;0
1;106099;18002;26998;7667;600;300;0
1;106105;18112;26980;8579;600;300;0
1;106110;18152;26977;9476;600;300;0
1;106115;18195;26974;10356;600;300;0
1;106121;18244;26970;10933;600;300;0
1;106126;18295;26969;11173;600;300;0
1;106131;18350;26969;11301;600;300;0
1;106137;18404;26969;11317;600;300;0
1;106142;18458;26969;11317;600;300;0
1;106148;18509;26976;11253;600;300;0
1;106153;18555;26982;11189;600;300;0
1;106158;18599;26989;11109;600;300;0
1;106164;18637;26997;10981;600;300;0
1;106169;18671;27006;10772;600;300;0
1;106174;18698;27017;10276;600;300;0
1;106180;18717;27026;9732;600;300;0
1;106185;18732;27035;8740;600;300;0
1;106190;18739;27044;7315;600;290;0
1;106196;18741;27054;5954;600;290;0
1;106201;18741;27063;4081;600;290;0
1;106206;18741;27070;1808;600;290;0
3;106212;18741;27070;0;600;290;0
3;106217;18696;27088;0;600;290;0
3;106223;18671;27094;0;600;290;0
3;106228;18640;27102;0;600;290;8
3;106233;18624;27103;0;600;290;8
3;106239;18607;27104;0;600;290;16
3;106244;18590;27105;0;600;290;28
3;106249;18572;27106;0;600;290;36
3;106255;18550;27107;0;600;290;36
3;106260;18523;27107;0;600;290;48
3;106265;18491;27108;0;600;290;48
3;106271;18454;27108;0;600;280;56
3;106276;18417;27109;0;600;280;56
3;106282;18381;27111;0;600;280;68
3;106287;18345;27114;0;600;280;68
3;106292;18312;27118;0;600;280;68
3;106298;18280;27122;0;600;280;68
3;106303;18250;27127;0;590;270;68
3;106308;18225;27131;0;590;270;56
3;106314;18202;27137;0;590;270;56
3;106319;18180;27143;0;590;270;56
3;106324;18162;27147;0;590;270;48
3;106330;18144;27151;0;590;280;48
3;106335;18125;27153;0;590;280;48
3;106341;18107;27156;0;590;280;48
3;106346;18088;27159;0;590;280;48
3;106351;18067;27162;0;590;280;36
3;106357;18045;27166;0;590;280;36
3;106362;18022;27171;0;600;290;28
3;106367;17999;27175;0;600;290;28
3;106373;17975;27181;0;600;290;16
3;106378;17953;27188;0;600;290;16
3;106383;17932;27195;0;600;290;16
3;106389;17913;27202;0;600;290;8
3;106394;17895;27209;0;600;300;8
3;106399;17880;27217;0;600;300;0
3;106405;17865;27225;0;600;300;0
3;106410;17852;27235;0;600;300;0
3;106416;17838;27242;0;600;300;0
3;106421;17809;27253;0;600;320;0
3;106426;17784;27261;0;600;320;0
1;106427;17759;27267;272;610;330;0
1;106428;17759;27267;1328;610;330;0
1;106429;17759;27267;2561;610;330;0
1;106430;17759;27267;4145;610;330;0
1;106433;17759;27267;5778;610;330;0
1;106438;17759;27267;7187;610;330;0
1;106443;17759;27267;8804;610;330;0
1;106449;17759;27267;10100;610;330;0
1;106454;17759;27267;11093;610;330;0
1;106459;17759;27267;11989;610;330;0
1;106465;17759;27267;12789;610;330;0
1;106470;17759;27267;13462;610;330;0
1;106475;17759;27267;13798;610;330;0
1;106481;17759;27267;13798;610;330;0
1;106486;17665;27277;13654;610;330;0
1;106492;17677;27277;13462;610;330;0
1;106497;17693;27277;13174;610;330;0
1;106502;17714;27277;12901;610;330;0
1;106508;17742;27278;12533;610;330;0
1;106513;17778;27278;12101;610;330;0
1;106518;17821;27278;11477;610;330;0
1;106524;17870;27276;10468;610;330;0
1;106529;17924;27274;8916;610;330;0
1;106534;17980;27274;7219;610;330;0
1;106540;18029;27274;5202;610;330;0
1;106545;18067;27274;2513;610;330;0
3;106551;18067;27274;0;610;320;0
3;106556;18177;27274;0;610;320;0
3;106561;18223;27274;0;600;300;0
3;106567;18270;27274;0;600;300;8
3;106572;18282;27274;0;610;290;16
3;106577;18290;27274;0;610;290;28
3;106583;18296;27275;0;610;290;36
3;106588;18301;27278;0;610;290;36
3;106593;18306;27283;0;610;290;36
3;106599;18310;27289;0;610;290;48
3;106604;18312;27297;0;600;280;48
3;106609;18314;27306;0;600;280;48
3;106615;18314;27317;0;610;290;48
3;106620;18314;27327;0;610;290;48
3;106626;18307;27338;0;600;280;36
3;106631;18298;27349;0;600;280;36
3;106636;18287;27361;0;600;280;36
3;106642;18273;27373;0;610;290;28
3;106647;18258;27384;0;610;290;16
3;106652;18243;27395;0;610;290;16
3;106658;18226;27407;0;610;290;8
3;106663;18208;27419;0;610;290;0
3;106668;18188;27430;0;610;290;0
3;106674;18170;27442;0;610;290;0
3;106679;18141;27455;0;610;290;0
3;106685;18116;27465;0;610;290;0
1;106686;18098;27473;2160;610;290;0
1;106687;18098;27473;3585;610;290;0
1;106688;18098;27473;4770;610;290;0
1;106689;18098;27473;5634;610;290;0
1;106695;18098;27473;6082;610;290;0
1;106700;18098;27473;6627;610;290;0
1;106705;18098;27473;7395;610;290;0
1;106711;18098;27473;8259;610;290;0
1;106716;18220;27500;9220;610;290;0
1;106721;18266;27508;9732;610;290;0
1;106727;18320;27513;10004;610;290;0
1;106732;18378;27516;10260;610;290;0
1;106737;18438;27520;10260;610;290;0
1;106743;18496;27522;10180;610;290;0
1;106748;18551;27527;10148;610;290;0
1;106754;18601;27530;10068;610;290;0
1;106759;18643;27530;10052;610;290;0
1;106764;18679;27530;10052;610;290;0
1;106770;18707;27528;10052;610;290;0
1;106775;18729;27522;10052;610;290;0
1;106780;18744;27518;10052;610;290;0
1;106786;18751;27512;10052;610;290;0
1;106791;18753;27507;10164;610;290;0
1;106796;18753;27500;10244;610;270;0
1;106802;18746;27490;10452;610;270;0
1;106807;18730;27482;10852;610;270;0
1;106813;18706;27473;11173;610;270;0
1;106818;18674;27468;11173;610;270;0
1;106823;18630;27468;10933;610;270;0
1;106829;18578;27468;10500;610;270;0
1;106834;18517;27474;10068;610;270;0
1;106839;18454;27488;10020;620;280;0
1;106845;18393;27501;10020;620;280;0
1;106850;18335;27516;10020;620;280;0
1;106855;18283;27533;9956;620;280;0
1;106861;18237;27548;9956;620;280;0
1;106866;18196;27567;10132;620;300;0
1;106871;18164;27587;10564;620;300;0
1;106877;18137;27610;10933;620;300;0
1;106882;18116;27636;11269;620;300;0
1;106888;18101;27661;11669;620;300;0
1;106893;18092;27684;12277;620;300;0
1;106898;18090;27701;12693;620;300;0
1;106904;18090;27712;12693;620;300;0
1;106909;18093;27720;12661;620;300;0
1;106914;18104;27727;12645;620;300;0
1;106920;18118;27736;12533;610;320;0
1;106925;18138;27746;12421;610;320;0
1;106930;18162;27754;12373;610;320;0
1;106936;18191;27758;12341;620;330;0
1;106941;18226;27758;12213;610;320;0
1;106947;18263;27755;12069;610;320;0
1;106952;18302;27741;11781;620;300;0
1;106957;18337;27721;11477;620;300;0
1;106963;18372;27700;11093;620;300;0
1;106968;18401;27675;10756;620;300;0
1;106973;18428;27649;10484;620;300;0
1;106979;18453;27625;10036;620;300;0
1;106984;18473;27600;10004;620;300;0
1;106989;18491;27581;10004;620;300;0
1;106995;18506;27564;10116;620;300;0
1;107000;18515;27550;10516;620;300;0
1;107005;18520;27540;10965;620;300;0
